Art Image,Pose Probabilities
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/2211_mainfoto_05.jpg,"[-0.8931522  -0.5115535   0.62738484  0.89362496  0.15642482 -0.04079413
 -0.2468915   0.9562625  -0.06453548 -1.8170775  -0.43120635 -1.3201368
 -0.01965431 -0.9187166  -0.11348899  0.268039   -0.65651375 -1.4768771
  0.94468087  0.29419744  0.07805295 -0.9436961   2.3092437   1.9648923
 -0.6045361  -0.95493555 -1.1176353  -1.3240203  -1.9548402  -0.47789887
  0.38066244  1.5443972  -1.6074473   2.682824   -1.3035547  -0.3254388
  3.6898518   1.784757    0.5366136   0.01268818]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/2212_mainfoto_05.jpg,"[ 0.08276895 -0.32186538 -0.32148454  0.41227227 -0.27701467 -1.2162743
  0.5023722  -0.9480346   0.3261221  -1.4712839  -0.26261336 -0.66615903
  0.5704465  -0.98293203  0.44367152  0.426014   -1.1972083   0.31307825
  1.9424074  -0.5458373   0.24300194  0.18227546  0.5943367   1.9591153
 -1.2296926  -0.64500856 -1.8255186  -0.9967904  -0.3603478   0.57476324
  2.1156063  -0.6734099  -1.6381962   0.6316833  -1.4490418  -1.8367934
  3.1495965   1.754619    1.9986196   0.6427339 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/2260_mainfoto_05.jpg,"[ 2.0835726   0.44756368  0.08328462  0.70394397 -1.0471103  -1.1311004
  0.182105   -1.0851073  -0.38598406 -1.2609476   0.1997615  -1.4137207
 -1.0819912  -0.11380999  1.8190099   0.60260457 -0.9535155   1.0166416
  2.437886   -1.3316545   0.875556    0.88405085  0.5700761  -0.20077564
 -0.84750056 -0.96734214 -1.5957086  -1.1605659  -1.2765266   0.48156944
  2.0022013  -0.72993374 -0.78732735 -0.05775726 -0.7843667  -1.4582276
  0.9281299   2.669418    1.8435317  -0.1599341 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/2266_mainfoto_05.jpg,"[-6.7224008e-01  7.9421610e-01 -5.7604587e-01 -1.2751757e+00
 -1.7432864e+00 -1.0506413e+00  1.4353129e+00 -2.1581917e+00
 -4.0841171e-01  9.8135179e-01  1.7821562e+00 -2.0030375e+00
  1.0800809e-02 -1.8603394e+00  1.9537292e+00  1.7899595e+00
 -1.8528285e+00  7.8556532e-01 -6.2108928e-01 -6.0581619e-01
 -1.5759875e+00  9.4011545e-01  2.3211576e-03 -4.9733394e-01
  1.0926402e+00  1.0541064e+00  6.0068977e-01  1.2490535e+00
  5.6929940e-01 -1.5783617e+00  7.1187329e-01 -5.7693028e-01
  9.5998722e-01  4.2913160e-01  6.7250299e-01 -3.4623158e-01
 -6.6780619e-02  2.6111362e+00 -3.8553232e-01 -5.7168853e-01]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/2294_mainfoto_05.jpg,"[ 2.2670813  -1.233401    1.1709359  -0.6200093  -1.2625859   0.22753063
 -0.13867871  0.3386094   0.8097782  -1.3764713  -0.45753172 -0.8007782
 -1.1652496  -2.1229796  -0.32244602  0.09176548 -0.41369554  0.18140164
 -0.54837984  0.74581295 -0.10998228  1.1435272   0.93157625  0.5627075
 -1.7237463  -1.0489599  -0.8688083  -0.25761572 -1.5862625   0.3763216
 -0.4841557  -0.04124921  2.8993518   0.17277661 -1.0779138   1.7953142
  0.70970875  2.149606    0.24887864  0.8382104 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3354_mainfoto_05.jpg,"[ 0.88538224 -0.81016076  0.03032368  0.9303127  -0.24311906 -0.55516315
  0.49095368  0.17286474 -0.8794561  -1.6815187   0.4843969  -0.79368
 -0.57417023 -1.3249153  -0.98319674  0.23043875  1.3986824   1.2863173
  0.09412135 -0.5358264  -0.4490689   0.649       0.39113438  1.5763961
 -1.5473157  -1.5641099  -1.1838424  -0.22373438 -0.32981756 -0.68798405
  0.04107419 -0.06744568 -0.95950085  1.1364901  -1.9580398  -0.91988033
  0.84015936  0.90869004  4.5107903   2.2144156 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3372_mainfoto_05.jpg,"[ 0.20543066 -0.3927011  -0.94095606 -0.876112   -1.509672   -0.95083714
  0.78521585 -0.1575507  -0.9961462   1.3570307  -0.36625955 -1.5850923
 -1.9985132  -0.58761024 -0.24262077  1.2868385  -1.1972338   1.1862104
  0.42260063 -0.9223543  -1.5302228  -0.7001494   0.9048124  -0.24990313
  0.58034545  2.5071247  -2.0213115   1.3980469   0.11547422 -1.2273898
  1.4208448  -0.13802688 -0.1829149   1.3505884   2.6418014  -1.516967
  1.3412689   2.0775862   0.37524945  0.33407295]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3389_mainfoto_05.jpg,"[ 1.2552695  -0.93781316 -0.3399943  -0.10273056 -0.70873904 -0.8395365
  0.02491513  0.1065276   0.64067566 -1.933899   -1.0509284  -1.6395246
 -1.4773949  -1.3963261  -0.7075056  -0.09205637  0.622983    0.64654297
  0.6183202   2.3666418   0.75971425  0.7115459  -0.5852017   4.290512
 -2.1173928  -1.6485186  -1.4287214  -1.3189325  -1.897162    1.1079996
  0.31880766  0.4208982  -0.8610492   0.9704043  -2.2632828  -0.53347105
  0.10975859  1.3276285   4.293978    3.2870548 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3394_mainfoto_05.jpg,"[-0.84067744 -0.56029326 -0.4235148  -0.46657303  0.9031243  -1.1447655
  1.7387952  -1.763644   -1.9499676  -0.13434032  2.1381724  -1.9407324
 -0.4576483  -0.77983797  0.52310175  2.2312102  -1.236182    1.7332006
 -0.5673311  -0.00811286 -0.9770037  -0.93027294  0.2748285   0.1327859
  1.2646912   0.3462323  -0.523447    1.6594757   0.45847014 -1.3074363
  0.6666948  -0.90905964 -0.09247278  1.2457675   0.8435506  -0.62867653
 -0.792985    1.7142987   0.520298    0.04027633]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3396_mainfoto_05.jpg,"[ 0.02894981 -1.0183661  -0.3623395   0.26642367 -0.30475017 -0.41887242
 -0.53151053 -1.0554091   0.04744512 -1.635144    1.1051232  -2.2611954
 -1.4204475  -1.4247655   3.122384    0.84244496 -1.6229547   0.85133404
  0.95491004 -0.39310122  0.76958174  0.23433505  1.1486887   1.3819867
  0.05189697 -1.0382293   0.42582828  1.4824501  -1.609852    0.6386904
  1.4032062   0.1269635  -0.70331585 -1.1216465   0.88748467 -1.4867642
 -0.8722154   2.2425423   0.6759343   0.5922712 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3397_mainfoto_05.jpg,"[ 0.5903077  -0.03102426  0.70204264  1.3041606  -1.7238936   0.24580523
 -0.7069912  -0.30504128  0.89416444 -1.4678897   0.32438204 -1.8570402
 -1.2684581  -1.5742509   0.99908096 -1.4231001  -0.32658324  4.116656
  1.4075502   0.85437065  3.0391243  -1.5611709   0.42577773  0.89632475
 -2.4143462  -2.6136582  -2.1717865  -0.96884    -1.0628124   1.16639
  2.4534233   1.2315388  -2.1434705   0.77559984 -1.812433   -0.3010262
  1.4371701  -0.6571712   2.1086442   1.4184693 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3398_mainfoto_05.jpg,"[ 3.2782078  -0.04425617  1.1314825  -0.25821346 -1.199203   -0.6172412
 -1.0143874   0.905586    0.18081073 -1.0753553  -0.4436918  -1.6255101
 -1.6573088  -0.19333453  0.7382307  -0.6061829  -0.08266877  1.1342684
  0.56893224  1.0639464   1.3807242   0.16984746 -0.38907903  1.0690222
 -1.943053   -1.2393951  -1.1251129  -0.360343   -1.2998611   1.0824504
  1.008846    0.5966025  -0.63143724 -0.9064748  -1.2092068  -0.9729918
  0.24283874  2.4772456   0.70483834  1.1604283 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3400_mainfoto_05.jpg,"[-0.18619862 -0.84188396  0.21941051  0.3154744   0.62019694 -1.5776495
  0.6772185  -1.4306241  -1.3460017  -0.70067096  2.7105746  -1.3506557
 -1.3300326  -1.543805    1.1333629   0.5658819  -0.5159643   1.5978423
  0.49178374 -0.7392859   0.04329739 -0.4286765   0.87887067  0.25042057
 -0.15059736  0.281739    0.61787844  0.3614861   0.8914884  -0.25544366
  1.7512891  -1.1126567  -0.94494045 -0.49238092 -0.39201498 -1.5792116
 -0.43806013  0.9757655   1.8237956   1.1489785 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3411_mainfoto_05.jpg,"[-0.92862886 -0.280792   -1.5992233  -0.5155906  -1.1368722  -0.5532702
  0.1027869  -1.1961997  -1.5368965  -0.72510374  5.4205785  -2.1710808
  0.10605591 -1.4301713   1.7290106   1.2583861  -1.2380043   1.5588266
 -0.6046007  -0.5654894  -0.8626724   0.34912178  0.7436837  -0.5729542
  0.48747584  0.68421555  2.9933844   0.99942815  0.72012717 -2.2143679
  0.46372643 -1.0451723   0.36627808 -0.50298995  0.5637251   0.07724561
 -0.44076762  1.8343627  -0.28985497 -0.04771496]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3415_mainfoto_05.jpg,"[ 0.588079   -0.46675533  0.88858426  0.07904804  0.24891832 -0.6451269
 -0.7375327   0.29297134  0.44786394 -0.4114739   0.00517464 -1.6220044
 -1.5731375  -1.4290389   0.26873899  0.2512263   0.23130412  1.1287212
  0.00335814 -0.9410915  -0.15258662  1.0422431   0.5674372   1.2159854
 -1.2142376  -1.1808618  -0.30193433 -0.22149225 -1.2131419  -0.28763515
  0.92325056 -0.28954747 -1.0818896   0.0277378  -1.3635354  -0.12686712
  0.63208985  2.1458287   2.7690163   1.5023088 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3416_mainfoto_05.jpg,"[ 0.6020413  -0.65295595 -0.38212198 -0.32895583  0.04444493 -0.32252598
  1.2029095  -0.63784665 -0.47084427 -0.05304095  1.3932658   0.01528037
 -0.7333888  -0.50990874  0.7527534  -0.20134181 -0.9377343   0.5419058
  0.33794236 -0.4029141   0.41985065  0.74362946  1.1551162   0.30515438
 -0.6545123  -0.2780735   0.2888454  -0.26094905  0.05962681 -0.25286964
 -0.02700356 -0.52334386 -0.549088   -0.592352   -1.1681428  -1.0645263
 -0.27539742  1.421469    1.277831    0.7177732 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3421_mainfoto_05.jpg,"[ 0.1345694  -0.7972034  -0.31541145 -0.5089272  -0.3756563  -1.4325608
 -1.587692   -1.6104089   0.50775784 -1.7456281   1.2368048  -1.6771225
 -0.96749437 -1.6646281   0.40133044  0.56846005 -0.7201263   1.2439623
  1.4451765  -1.2340271  -0.15637167  0.26343992 -0.01308522  0.81402105
 -0.32738724 -1.119805   -1.0598904   0.63329303 -1.3232802   0.19890815
  2.0083704   1.1917038  -1.4635022   1.9711963  -0.5200505  -1.3369701
  3.3995707   2.5306554   1.9692254   1.4387817 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3423_mainfoto_05.jpg,"[ 0.8277919  -0.33729503 -1.759461   -0.37618598  0.14262484 -1.0187858
  1.3225213  -1.0326492  -1.0520824   1.0779499   1.3125262  -1.022895
 -0.88668823 -0.5590378   2.0114577   1.2547634  -1.2395176   2.025676
  0.2495038  -0.737596   -0.13878806  0.26963788  1.4760747  -0.30973756
 -0.5794935   1.5206231  -0.5526381   0.4655137   1.1065173  -0.65553176
  2.4316325  -1.2930322  -0.9768482  -0.888259    0.20947143 -2.4293365
 -0.6130948   1.1889108  -0.07545126 -0.35878903]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3424_mainfoto_05.jpg,"[ 0.86121786 -0.47961354  1.0505309   0.6918179   0.19046345  0.19842082
 -1.56808     0.19813368  1.1385527  -0.8517218   0.06072585 -2.2158864
 -1.5405401  -0.8264182   1.5188438  -0.24714829 -0.640529    1.3758017
  1.2730935  -0.651218    0.26489216  0.6423453   0.81028146  0.8998193
 -1.5061055  -1.2607787  -1.9368211  -1.0670094  -0.61953866  0.65046126
  1.8017539  -0.12945467 -2.6628702  -0.2630895  -0.7710316  -1.588341
  2.1417403   2.0454166   2.022062    0.9898214 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3425_mainfoto_05.jpg,"[ 1.330718   -0.2446033   0.87552345  3.3816235  -0.4159703   1.3988606
 -0.83626795  1.6703422   0.8784707  -0.16871162 -0.98862123 -0.2754432
  0.2622898   0.5823543  -0.5529291   1.1911582  -0.07696749  0.8489807
 -0.1772002  -1.8895972   0.66847956  1.9032263   1.4254797  -0.13363211
 -2.8970635  -2.3023612  -2.4001684  -1.1456286  -0.48953456 -2.0233865
  0.70997274 -0.8332461  -2.1121068  -1.1310616  -2.0367672   0.19212519
  2.0469568   0.7976245   2.239741    0.7273412 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3426_mainfoto_05.jpg,"[ 1.4288684  -0.40144482  0.06387343 -0.13422653 -0.60488963 -0.9822726
  0.10057904  0.07219733  0.3100494  -0.6184643   0.0087452  -1.058804
 -1.3695421  -0.30853218  0.12203805  0.09820231 -0.80036736  0.09290965
  0.93349886  0.56849056 -0.13438722 -0.7663062   0.06895503  2.0783126
 -1.3380568   0.12410987 -0.8782796  -0.69614726 -1.2628227   1.2832536
  0.6057707   1.3025235  -0.73661923  0.00245523 -1.5283793  -1.6011752
  1.5403721   2.1811314   0.8415634   1.3928183 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3427_mainfoto_05.jpg,"[ 0.7349325  -0.6989916   0.6222219  -0.14454766 -0.51315975  0.6527447
 -0.28270793  0.3407234   0.44331628 -0.81870145 -0.89996976 -0.20802464
 -1.6269389  -0.04305255 -0.7849962  -0.6565608  -0.10975172 -0.19314793
  0.682663    0.3976007   1.064822   -0.34462082  1.2399867   1.219208
  0.94399154  0.93526393  0.01810855 -0.5956754  -0.6752802   0.896577
  0.05294851 -0.8810447  -0.5234881   0.04581491 -0.9195471  -0.8881809
 -0.06773096  1.3392876  -0.09114439  0.33705544]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3428_mainfoto_05.jpg,"[ 1.7210252  -0.09800112  0.6760004  -0.3253809  -1.1320435  -0.01829646
 -0.49907377  0.9768648   0.55637014 -1.4018881  -0.49627933 -0.9248415
 -1.6767977  -0.7578737   0.3013522  -0.7999809   0.63797426  0.4245707
  0.5845425  -0.6630539   0.6427245   0.32388067  0.10071634  2.1538465
 -1.2534627  -1.5424963  -0.7459993  -1.8903059  -2.2253134   1.8838848
  0.67075396  0.58176684 -0.57865095 -0.07695556 -2.2957857  -0.29924423
  0.35359648  1.844996    3.0205016   2.2463527 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3430_mainfoto_05.jpg,"[ 1.6303815  -0.6993387   0.4985605  -0.7778276  -0.57005626  0.9565428
 -0.5990123   1.147028    0.569558   -1.1965005  -0.57598764 -0.2485857
 -1.4901057  -0.5751198  -0.8815768   0.05627876  0.00709251 -0.20360392
  0.28887802  1.0100104   1.646677    1.8326308   0.12056144  1.8954772
 -1.2862096  -0.8632034  -0.40948775 -1.0869888  -1.4338483   1.2148554
 -0.14029558  0.5033688  -0.6892923  -0.12073747 -2.8220856   0.123342
  0.43494564  1.1451973   0.625434    0.9630429 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3431_mainfoto_05.jpg,"[ 0.55059654 -0.6438719  -0.11955568  1.6271249  -0.00751973 -0.8855197
 -0.40207812 -0.64814603  0.53243136 -1.5030078   0.8461742  -1.6293812
 -0.80283785 -0.9182306   1.7729948   1.3246751  -1.3138446   0.3055651
  1.2343142  -0.13287303  0.5672759  -0.6053021   1.2648919   1.0281672
 -0.12945533 -0.7550297  -1.0175744   1.4237887  -1.2926865  -0.9252354
  1.3124043  -0.15504627 -2.0267768  -1.1076729   0.45823544 -1.1247021
  1.2550987   1.218207    1.4362245  -0.01182579]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3432_mainfoto_05.jpg,"[-0.80431926 -0.27604476 -1.0441774  -0.6083065  -0.9137956  -1.2825094
  1.8918993  -0.9868779  -1.2015421   0.19470039  2.0591972  -1.1991967
 -0.8243736  -0.12033903  0.8351249   0.99871427 -1.0251353   1.5850933
 -0.39241546 -0.4996716  -1.0790737  -0.93779784  0.7179864   0.09406319
  0.5677691   1.0875179   1.0383903   0.5092314   0.8612165  -0.5242016
  1.7634375  -1.4717367   0.02940172 -0.45067003  0.19178094 -1.3879116
  0.30120346  1.1057116   1.0349152   0.16274433]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3446_mainfoto_05.jpg,"[-0.33765408 -0.59918934 -0.52834296 -0.33254626 -1.3257532  -0.759925
  0.9126332  -0.7575931  -0.79727274 -0.6098737   1.4273663  -1.3492141
 -1.4488856  -0.50768846  1.6071961   0.6811219  -1.2438836   0.44147465
  0.33477065 -0.03010366 -0.19911908 -0.14114614  1.0581149   1.609318
  0.10084286  0.63191307  0.33384624  0.6171797  -0.33635902 -0.6350491
  0.93722165 -0.00543148  0.29098737 -0.46710262 -0.11442205 -0.42373878
 -0.747918    1.1684792   0.10064954  1.4450998 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3454_mainfoto_05.jpg,"[ 2.0538118   0.30773517  1.0186522  -0.53169465 -0.9190615  -0.28014773
 -0.28505462  0.095016    0.40359128 -0.67861336 -0.37826285 -1.0512044
 -1.3964763  -0.21647577  0.99477094 -0.32771412 -0.70863235  0.6036278
  0.7106824   0.04324938  1.5839179   1.0212431   0.4973655   0.6651925
 -0.36157623 -0.877141   -0.8251645  -1.058758   -0.6370105   0.9860427
  1.0510674  -0.7645494  -0.7000164  -0.88742626 -1.4024271  -0.70629054
 -0.83858377  2.0161822   0.97144115  0.808694  ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3456_mainfoto_05.jpg,"[ 2.0278296e+00 -6.1614108e-01  8.4569639e-01 -5.6572020e-01
 -2.9794809e-01 -7.9288691e-01 -8.1092203e-01  3.6421791e-01
 -1.1477796e-03 -9.6878046e-01 -4.6125016e-01 -8.8429332e-01
 -7.5859201e-01 -1.2254113e+00  3.8416469e+00 -5.1372021e-01
 -6.0156780e-01  4.5269188e-01  3.4520024e-01  1.6098109e+00
  1.2674170e+00  3.8126433e-01 -4.7485274e-01  3.0685559e-01
 -1.0357646e+00 -3.4378058e-01 -8.7171710e-01 -1.2524693e-01
 -1.2090894e+00  4.5345551e-01  4.0284503e-01  1.6286518e-01
  1.6012834e-01 -3.7203562e-01 -8.6203951e-01  7.0496243e-01
 -5.9975728e-02  1.1950893e+00 -8.5165453e-01  1.8255766e-01]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3457_mainfoto_05.jpg,"[ 0.94849026  0.21748297  0.2964899   0.37629208  0.88588554 -0.7796296
  0.40774027  0.0156278  -0.1118371  -1.0403365   0.05687502 -0.79245394
 -0.63553405 -0.1484328  -0.4055919   1.1259053  -0.2586889  -0.79518145
  0.45952317 -0.1428248  -0.71740234 -0.19781551  0.5965973   0.3018039
 -0.43409094 -0.34566897 -0.73661876  0.46874398 -1.0037475  -0.31386256
  0.9374188  -0.18973596 -0.6904549  -0.2738674  -0.86828274 -0.17758495
  0.37208983  1.2303234   1.8419911   0.52035934]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3458_mainfoto_05.jpg,"[ 0.4617245  -0.39695683  1.3275708  -0.7816388  -0.67161083  0.44418836
 -0.32235888  0.68498117  0.00909121 -0.38239494 -0.25427708 -0.28772938
 -1.0984429  -1.3103617  -0.9510303  -0.60735846  0.03929025  0.1346423
 -0.10452649 -0.24318172  0.8087568   0.6983873   1.0988036   0.88303035
 -1.0397043  -0.6258377  -0.8417642  -1.2546716  -0.45940927  0.4376373
 -0.3727077  -0.13945387  0.6707483   0.63520426 -1.8671471   0.28184983
  0.10249468  0.56688833  2.2908616   2.4364111 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/3459_mainfoto_05.jpg,"[ 0.47570926 -0.59943765  1.4552871   0.93365586  0.03921511 -0.43624973
 -0.3219244   0.33804616  0.689778   -1.601855   -0.3251108  -0.92010593
 -1.4897581  -1.3841032  -0.63024384  0.23910783 -0.00259602  1.2770061
  0.81677425 -0.8792455  -0.09487142  1.3235936  -0.02457874  0.9923561
 -1.122909   -1.4439999  -0.6064554  -0.4248163  -1.4537156   0.30375466
  0.46984836  0.25428435 -0.756732    0.07673706 -2.0439742   0.37912163
  0.9453733   1.0873129   2.4983253   1.9673923 ]"
